Id_Fecha;Año;mes;Anomalia_ONI;Temp_SST;Temp_media;ENSO_mes;ENSO_Año
1/01/1950;1950;1;-1,62;26,18;26,18;Niña;Niña
1/02/1950;1950;2;-1,32;26,39;26,29;Niña;Niña
1/03/1950;1950;3;-1,07;26,95;26,51;Niña;Niña
1/04/1950;1950;4;-1,11;27,39;26,73;Niña;Niña
1/05/1950;1950;5;-1,37;27,56;26,89;Niña;Niña
1/06/1950;1950;6;-0,74;27,21;26,95;Niña;Niña
1/07/1950;1950;7;-0,44;26,72;26,91;Neutral;Niña
1/08/1950;1950;8;-0,42;26,3;26,84;Neutral;Niña
1/09/1950;1950;9;-0,41;26,14;26,76;Neutral;Niña
1/10/1950;1950;10;-0,32;26,01;26,69;Neutral;Niña
1/11/1950;1950;11;-0,6;26,06;26,63;Niña;Niña
1/12/1950;1950;12;-0,88;26,18;26,59;Niña;Niña
1/01/1951;1951;1;-0,92;26,18;26,56;Niña;Niña - Niño
1/02/1951;1951;2;-0,66;26,39;26,55;Niña;Niña - Niño
1/03/1951;1951;3;-0,04;26,95;26,57;Neutral;Niña - Niño
1/04/1951;1951;4;0,2;27,39;26,63;Neutral;Niña - Niño
1/05/1951;1951;5;0,37;27,56;26,68;Neutral;Niña - Niño
1/06/1951;1951;6;0,52;27,21;26,71;Niño;Niña - Niño
1/07/1951;1951;7;0,87;26,72;26,71;Niño;Niña - Niño
1/08/1951;1951;8;0,71;26,3;26,69;Niño;Niña - Niño
1/09/1951;1951;9;1,08;26,14;26,66;Niño;Niña - Niño
1/10/1951;1951;10;1,19;26,01;26,63;Niño;Niña - Niño
1/11/1951;1951;11;1,19;26,06;26,61;Niño;Niña - Niño
1/12/1951;1951;12;0,74;26,18;26,59;Niño;Niña - Niño
1/01/1952;1952;1;0,49;26,18;26,57;Neutral;Neutral
1/02/1952;1952;2;0,37;26,39;26,57;Neutral;Neutral
1/03/1952;1952;3;0,24;26,95;26,58;Neutral;Neutral
1/04/1952;1952;4;0,42;27,39;26,61;Neutral;Neutral
1/05/1952;1952;5;0,23;27,56;26,64;Neutral;Neutral
1/06/1952;1952;6;-0,03;27,21;26,66;Neutral;Neutral
1/07/1952;1952;7;-0,2;26,72;26,66;Neutral;Neutral
1/08/1952;1952;8;0;26,3;26,65;Neutral;Neutral
1/09/1952;1952;9;0,21;26,14;26,64;Neutral;Neutral
1/10/1952;1952;10;0,25;26,01;26,62;Neutral;Neutral
1/11/1952;1952;11;-0,14;26,06;26,6;Neutral;Neutral
1/12/1952;1952;12;0,03;26,18;26,59;Neutral;Neutral
1/01/1953;1953;1;0,56;26,18;26,58;Niño;Niño
1/02/1953;1953;2;0,61;26,39;26,57;Niño;Niño
1/03/1953;1953;3;0,62;26,95;26,58;Niño;Niño
1/04/1953;1953;4;0,64;27,39;26,6;Niño;Niño
1/05/1953;1953;5;0,71;27,56;26,63;Niño;Niño
1/06/1953;1953;6;0,9;27,21;26,64;Niño;Niño
1/07/1953;1953;7;0,7;26,72;26,64;Niño;Niño
1/08/1953;1953;8;0,63;26,3;26,64;Niño;Niño
1/09/1953;1953;9;0,85;26,14;26,62;Niño;Niño
1/10/1953;1953;10;0,86;26,01;26,61;Niño;Niño
1/11/1953;1953;11;0,82;26,06;26,6;Niño;Niño
1/12/1953;1953;12;0,83;26,18;26,59;Niño;Niño
1/01/1954;1954;1;0,8;26,18;26,58;Niño;Niño - Niña
1/02/1954;1954;2;0,64;26,39;26,58;Niño;Niño - Niña
1/03/1954;1954;3;-0,04;26,95;26,59;Neutral;Niño - Niña
1/04/1954;1954;4;-0,74;27,39;26,6;Niña;Niño - Niña
1/05/1954;1954;5;-0,45;27,56;26,62;Neutral;Niño - Niña
1/06/1954;1954;6;-0,42;27,21;26,63;Neutral;Niño - Niña
1/07/1954;1954;7;-0,62;26,72;26,63;Niña;Niño - Niña
1/08/1954;1954;8;-0,88;26,3;26,63;Niña;Niño - Niña
1/09/1954;1954;9;-1,03;26,14;26,62;Niña;Niño - Niña
1/10/1954;1954;10;-0,78;26,01;26,61;Niña;Niño - Niña
1/11/1954;1954;11;-0,5;26,06;26,6;Neutral;Niño - Niña
1/12/1954;1954;12;-0,91;26,18;26,59;Niña;Niño - Niña
1/01/1955;1955;1;-0,56;26,18;26,58;Niña;Niña
1/02/1955;1955;2;-0,57;26,39;26,58;Niña;Niña
1/03/1955;1955;3;-0,72;26,95;26,59;Niña;Niña
1/04/1955;1955;4;-0,78;27,39;26,6;Niña;Niña
1/05/1955;1955;5;-0,91;27,56;26,61;Niña;Niña
1/06/1955;1955;6;-0,67;27,21;26,62;Niña;Niña
1/07/1955;1955;7;-0,58;26,72;26,62;Niña;Niña
1/08/1955;1955;8;-0,8;26,3;26,62;Niña;Niña
1/09/1955;1955;9;-0,87;26,14;26,61;Niña;Niña
1/10/1955;1955;10;-1,6;26,01;26,6;Niña;Niña
1/11/1955;1955;11;-1,81;26,06;26,6;Niña;Niña
1/12/1955;1955;12;-1,61;26,18;26,59;Niña;Niña
1/01/1956;1956;1;-0,99;26,33;26,59;Niña;Niña
1/02/1956;1956;2;-0,74;26,51;26,59;Niña;Niña
1/03/1956;1956;3;-0,54;27,01;26,59;Niña;Niña
1/04/1956;1956;4;-0,6;27,46;26,6;Niña;Niña
1/05/1956;1956;5;-0,46;27,59;26,62;Neutral;Niña
1/06/1956;1956;6;-0,48;27,29;26,62;Neutral;Niña
1/07/1956;1956;7;-0,58;26,8;26,63;Niña;Niña
1/08/1956;1956;8;-0,65;26,32;26,62;Niña;Niña
1/09/1956;1956;9;-0,43;26,15;26,62;Neutral;Niña
1/10/1956;1956;10;-0,29;26,03;26,61;Neutral;Niña
1/11/1956;1956;11;-0,54;26,1;26,6;Niña;Niña
