Id_estacio;Nom_Est;Longitud;Latitud;Longitud_geo;Latitud_geo;alt_est;Porc_datos;Celda_XY;Cant_Est;departamento;municipio;AH;ZSZH;vereda;SUBREGION;depto_region;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
11010010;VUELTA LA [11010010];4607248;2162361;-76,54471848;5,458947519;2041;78;(3-4);5;Choco;Certegui;Caribe;DarienRioAndagueda;SIN DEFINIR;;Choco - ;0;0;0;0;0;0;0;0;0;0;6372;9637;9242;1878;9721;8039;7012;5334;8458;8355;8767;7350;6375;8794;10013;9842;8533;6779;9361;10026;10986;6434;7647;7419;7888;8611;8419;8714;10078;8883;9522;9582;8647;9030;8646;8083;9346;9775;9338;9415;10142;71
11020010;CARMEN DE ATRATO [11020010];4652177;2211864;-76,1420854;5,90853002;944;100;(4-5);12;Choco;ElCarmen;Caribe;DarienAltoAtrato;LA ARGELIA;;Choco - ;3363;3518;2311;2222;2428;2858;1972;1826;2556;2198;2239;2512;1600;2187;2773;1969;2330;2189;2812;2384;2242;1841;1455;2282;2240;2618;3175;1822;2508;3495;2908;2173;2059;2479;2863;3289;2486;2621;3230;2532;4687;3920;3695;3831;3195;2357;3458;3153;3562;2628;2584;90
11020020;GUADUAS [11020020];4647518;2196191;-76,183329;5,766670316;1073;42;(3-4);5;Choco;ElCarmen;Caribe;DarienAltoAtrato;EL 10;;Choco - ;0;0;0;0;0;0;0;3588;4682;4240;4247;4624;4377;4756;5102;4143;3213;4335;4654;3994;3880;3425;3832;4460;4118;3902;4579;3341;1733;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71
11020050;PINON EL [11020050];4640027;2195237;-76,25085946;5,757668317;4340;95;(3-4);5;Choco;ElCarmen;Caribe;DarienAltoAtrato;CAUDUAS;;Choco - ;3246;17059;5640;8573;8408;10206;7124;8047;7544;7679;7678;9038;7217;6332;7487;6474;5627;5286;8134;7457;6708;6642;5836;7597;7513;7099;8304;6026;2118;2803;11628;8660;10031;9977;1729;7801;5420;7216;7017;6238;6987;8888;6088;6298;5041;3451;5534;4682;4950;5805;4905;7
11025010;MANSA LA [11025010];4658558;2208484;-76,08433055;5,878308568;765;91;(4-5);12;Antioquia;CiudadBolivar;Caribe;DarienAltoAtrato;MONTE LORO;;Antioquia - ;0;0;0;1574;2760;3123;2170;2005;2585;2307;2391;2375;1849;2571;3002;2178;2516;1976;2539;2545;2248;2069;1868;2695;2347;2136;2600;2006;2685;3279;2817;2659;2111;2586;2266;2745;2677;2648;2906;2149;2885;2519;2673;2515;2111;2039;2314;2415;2523;1459;2273;86
11030010;CERTEGUI [11030010];4599605;2153115;-76,61311036;5,375026722;9;94;(3-3);7;Choco;Certegui;Caribe;DarienRioQuito;CERTEGUI;;Choco - ;9875;10543;6660;4165;5703;7224;6199;5460;4650;4158;4150;4928;6193;5897;7422;5555;7212;7594;8909;7205;6467;5659;7858;8281;9202;9280;9413;8797;10038;11730;10632;526;0;7593;8047;9484;9611;6950;9076;9062;9926;9605;9559;10197;8753;9332;11770;10377;10439;10057;10513;25
11030030;MANAGRU [11030030];4586813;2148667;-76,72813705;5,334163171;181;72;(2-3);6;Choco;ElCantonDelSanPablo(Managru);Caribe;DarienRioQuito;MANAGRU;;Choco - ;0;0;0;0;0;0;0;5637;6408;5966;7160;7507;6010;4788;7632;6190;6096;6357;7060;6585;5492;5462;5728;5554;6181;6688;8994;4730;5385;6120;7151;5507;304;4646;7331;6509;5980;5950;9142;7385;7583;2252;6976;1104;0;286;438;598;2575;2368;1883;54
11030040;PAIMADO [11030040];4585501;2165002;-76,74086496;5,481608133;4681;76;(3-3);7;Choco;RioQuito(Paimado);Caribe;DarienRioQuito;SIN DEFINIR;;Choco - ;0;0;0;0;0;0;0;5569;5705;5355;4532;3930;3327;4402;6377;2898;1566;3833;1008;240;355;0;1300;8312;6188;6831;8958;6432;5947;7575;8569;6493;6116;0;2885;7045;6718;7327;7697;6712;7550;7636;6260;6651;6886;6631;6165;6577;7541;6655;8067;17
11035010;LLORO [11035010];4603368;2168036;-76,5799966;5,509998436;2260;66;(3-4);5;Choco;Lloro;Caribe;DarienRioQuito;SIN DEFINIR;;Choco - ;0;0;0;0;0;0;0;0;0;0;0;0;0;5689;5281;8111;6822;7091;7366;5655;5502;5632;2273;10015;5807;8411;8114;5635;8092;10860;8019;8031;8706;6894;7117;7548;9088;8026;5693;9272;9853;9984;9196;8585;7456;8322;8544;10262;7944;4036;6894;97
11035020;SAN ISIDRO [11035020];4584620;2181015;-76,74971985;5,626165172;449;72;(3-3);7;Choco;RioQuito(Paimado);Caribe;DarienRioQuito;SIN DEFINIR;;Choco - ;0;0;0;0;0;0;0;0;0;0;0;0;0;4895;8368;6031;5980;6558;6723;5887;5295;5742;6239;6084;7058;6861;7846;5383;6897;7748;7588;7350;7226;6907;5999;7179;7885;8031;7574;7347;7728;7496;8111;6963;5444;6058;5781;6458;6399;6762;5766;48
11040010;TUTUNENDO [11040010];4608205;2193870;-76,5378063;5,743610284;4247;98;(3-4);5;Choco;Quibdo;Caribe;DarienRioBebaramayotrosDirectosAtrato(md);TUTUNUENDO;;Choco - ;10505;12706;8671;10629;9404;12666;10113;8736;11382;8931;14919;19443;9940;8874;13781;9578;8527;10003;13875;8577;11245;13090;7128;9467;13124;10491;10589;9210;9260;10395;9961;9762;10229;12874;11073;12791;16801;12916;11237;11923;10943;11183;9833;10658;8667;8347;6441;7140;5931;8114;8071;98
